ps_bin_idx,ps_bin,celltype,1,2,N,frac
1,"[0,0.15)",delta,11,1,12,0.916666666666667
1,"[0,0.185)",beta,103,1,104,0.990384615384615
1,"[0,0.209)",alpha,172,0,172,1
10,"[1.35,1.5)",delta,7,0,7,1
10,"[1.66,1.85)",beta,91,1,92,0.989130434782609
10,"[1.88,2.09)",alpha,127,0,127,1
100,"[14.8,15]",delta,0,31,31,0
100,"[18.3,18.5]",beta,0,30,30,0
100,"[20.6,20.9]",alpha,1,67,68,0.0147058823529412
11,"[1.85,2.03)",beta,38,3,41,0.926829268292683
11,"[2.09,2.29)",alpha,26,0,26,1
12,"[2.03,2.22)",beta,45,0,45,1
12,"[2.29,2.5)",alpha,67,0,67,1
13,"[1.8,1.95)",delta,7,0,7,1
13,"[2.22,2.4)",beta,19,0,19,1
13,"[2.5,2.71)",alpha,654,4,658,0.993920972644377
14,"[1.95,2.1)",delta,5,0,5,1
14,"[2.4,2.59)",beta,148,7,155,0.954838709677419
14,"[2.71,2.92)",alpha,112,0,112,1
15,"[2.59,2.77)",beta,219,2,221,0.990950226244344
15,"[2.92,3.13)",alpha,138,0,138,1
16,"[2.77,2.96)",beta,80,0,80,1
16,"[3.13,3.34)",alpha,133,0,133,1
17,"[2.4,2.55)",delta,51,0,51,1
17,"[2.96,3.14)",beta,55,0,55,1
17,"[3.34,3.55)",alpha,59,0,59,1
18,"[2.55,2.7)",delta,12,0,12,1
18,"[3.14,3.33)",beta,113,4,117,0.965811965811966
18,"[3.55,3.75)",alpha,146,0,146,1
19,"[2.7,2.84)",delta,9,0,9,1
19,"[3.33,3.51)",beta,3,0,3,1
19,"[3.75,3.96)",alpha,27,0,27,1
2,"[0.15,0.299)",delta,4,0,4,1
2,"[0.185,0.37)",beta,14,0,14,1
2,"[0.209,0.417)",alpha,48,0,48,1
20,"[2.84,2.99)",delta,20,0,20,1
20,"[3.51,3.7)",beta,23,1,24,0.958333333333333
20,"[3.96,4.17)",alpha,98,0,98,1
21,"[2.99,3.14)",delta,4,0,4,1
21,"[3.7,3.88)",beta,43,1,44,0.977272727272727
21,"[4.17,4.38)",alpha,157,0,157,1
22,"[3.14,3.29)",delta,3,0,3,1
22,"[3.88,4.07)",beta,59,0,59,1
22,"[4.38,4.59)",alpha,91,0,91,1
23,"[4.07,4.25)",beta,89,2,91,0.978021978021978
23,"[4.59,4.8)",alpha,47,0,47,1
24,"[4.25,4.44)",beta,46,1,47,0.978723404255319
24,"[4.8,5.01)",alpha,94,0,94,1
25,"[4.44,4.62)",beta,9,1,10,0.9
25,"[5.01,5.21)",alpha,14,0,14,1
26,"[3.74,3.89)",delta,16,0,16,1
26,"[4.62,4.81)",beta,62,6,68,0.911764705882353
26,"[5.21,5.42)",alpha,32,0,32,1
27,"[3.89,4.04)",delta,11,0,11,1
27,"[4.81,4.99)",beta,74,3,77,0.961038961038961
27,"[5.42,5.63)",alpha,74,0,74,1
28,"[4.04,4.19)",delta,7,0,7,1
28,"[4.99,5.18)",beta,74,3,77,0.961038961038961
28,"[5.63,5.84)",alpha,406,6,412,0.985436893203883
29,"[4.19,4.34)",delta,7,0,7,1
29,"[5.18,5.36)",beta,96,6,102,0.941176470588235
29,"[5.84,6.05)",alpha,44,0,44,1
3,"[0.299,0.449)",delta,2,1,3,0.666666666666667
3,"[0.37,0.555)",beta,7,0,7,1
3,"[0.417,0.626)",alpha,9,0,9,1
30,"[4.34,4.49)",delta,25,0,25,1
30,"[5.36,5.55)",beta,60,6,66,0.909090909090909
30,"[6.05,6.26)",alpha,50,1,51,0.980392156862745
31,"[5.55,5.73)",beta,16,1,17,0.941176470588235
31,"[6.26,6.47)",alpha,350,3,353,0.991501416430595
32,"[4.64,4.79)",delta,15,0,15,1
32,"[5.73,5.92)",beta,9,1,10,0.9
32,"[6.47,6.67)",alpha,55,0,55,1
33,"[4.79,4.94)",delta,9,0,9,1
33,"[6.67,6.88)",alpha,38,0,38,1
34,"[4.94,5.09)",delta,4,0,4,1
34,"[6.1,6.29)",beta,4,0,4,1
34,"[6.88,7.09)",alpha,112,0,112,1
35,"[5.09,5.24)",delta,6,0,6,1
35,"[6.29,6.47)",beta,36,13,49,0.73469387755102
35,"[7.09,7.3)",alpha,88,0,88,1
36,"[5.24,5.39)",delta,7,0,7,1
36,"[6.47,6.66)",beta,64,12,76,0.842105263157895
36,"[7.3,7.51)",alpha,16,0,16,1
37,"[6.66,6.84)",beta,88,13,101,0.871287128712871
37,"[7.51,7.72)",alpha,21,0,21,1
38,"[5.54,5.69)",delta,6,1,7,0.857142857142857
38,"[6.84,7.03)",beta,76,7,83,0.91566265060241
38,"[7.72,7.93)",alpha,42,0,42,1
39,"[5.69,5.84)",delta,3,0,3,1
39,"[7.93,8.13)",alpha,68,1,69,0.985507246376812
4,"[0.449,0.599)",delta,1,0,1,1
4,"[0.555,0.74)",beta,14,0,14,1
4,"[0.626,0.834)",alpha,35,0,35,1
40,"[5.84,5.99)",delta,2,0,2,1
40,"[7.21,7.4)",beta,48,10,58,0.827586206896552
40,"[8.13,8.34)",alpha,79,0,79,1
41,"[5.99,6.14)",delta,13,0,13,1
41,"[7.4,7.58)",beta,55,9,64,0.859375
41,"[8.34,8.55)",alpha,83,0,83,1
42,"[6.14,6.29)",delta,12,0,12,1
42,"[7.58,7.77)",beta,205,85,290,0.706896551724138
42,"[8.55,8.76)",alpha,39,0,39,1
43,"[6.29,6.44)",delta,4,0,4,1
43,"[7.77,7.95)",beta,60,8,68,0.882352941176471
43,"[8.76,8.97)",alpha,18,0,18,1
44,"[6.44,6.59)",delta,2,0,2,1
44,"[7.95,8.14)",beta,101,20,121,0.834710743801653
44,"[8.97,9.18)",alpha,19,0,19,1
45,"[6.59,6.74)",delta,4,0,4,1
45,"[8.14,8.32)",beta,60,55,115,0.521739130434783
46,"[6.74,6.89)",delta,1,0,1,1
46,"[8.32,8.51)",beta,59,18,77,0.766233766233766
46,"[9.39,9.59)",alpha,30,0,30,1
47,"[8.51,8.69)",beta,18,8,26,0.692307692307692
47,"[9.59,9.8)",alpha,48,0,48,1
48,"[8.69,8.88)",beta,8,2,10,0.8
48,"[9.8,10)",alpha,121,0,121,1
49,"[10,10.2)",alpha,13,0,13,1
49,"[7.19,7.34)",delta,46,1,47,0.978723404255319
49,"[8.88,9.06)",beta,214,83,297,0.720538720538721
5,"[0.599,0.749)",delta,30,1,31,0.967741935483871
5,"[0.74,0.925)",beta,2,0,2,1
5,"[0.834,1.04)",alpha,140,0,140,1
50,"[10.2,10.4)",alpha,24,0,24,1
50,"[9.06,9.25)",beta,123,102,225,0.546666666666667
51,"[10.4,10.6)",alpha,31,0,31,1
51,"[9.25,9.43)",beta,26,13,39,0.666666666666667
52,"[10.6,10.8)",alpha,15,1,16,0.9375
52,"[7.64,7.79)",delta,4,0,4,1
52,"[9.43,9.62)",beta,37,8,45,0.822222222222222
53,"[7.79,7.94)",delta,8,0,8,1
53,"[9.62,9.8)",beta,531,24,555,0.956756756756757
54,"[11.1,11.3)",alpha,9,0,9,1
54,"[7.94,8.09)",delta,7,2,9,0.777777777777778
54,"[9.8,9.99)",beta,125,102,227,0.550660792951542
55,"[11.3,11.5)",alpha,15,0,15,1
55,"[8.09,8.24)",delta,15,4,19,0.789473684210526
55,"[9.99,10.2)",beta,57,100,157,0.363057324840764
56,"[10.2,10.4)",beta,40,45,85,0.470588235294118
56,"[11.5,11.7)",alpha,11,0,11,1
56,"[8.24,8.39)",delta,5,1,6,0.833333333333333
57,"[10.4,10.5)",beta,156,165,321,0.485981308411215
57,"[11.7,11.9)",alpha,189,22,211,0.895734597156398
57,"[8.39,8.53)",delta,35,3,38,0.921052631578947
58,"[10.5,10.7)",beta,17,367,384,0.0442708333333333
58,"[11.9,12.1)",alpha,10,4,14,0.714285714285714
58,"[8.53,8.68)",delta,2,3,5,0.4
59,"[10.7,10.9)",beta,2,31,33,0.0606060606060606
59,"[12.1,12.3)",alpha,19,5,24,0.791666666666667
59,"[8.68,8.83)",delta,4,3,7,0.571428571428571
6,"[0.925,1.11)",beta,239,3,242,0.987603305785124
6,"[1.04,1.25)",alpha,214,2,216,0.990740740740741
60,"[10.9,11.1)",beta,2,66,68,0.0294117647058824
60,"[12.3,12.5)",alpha,1,0,1,1
60,"[8.83,8.98)",delta,2,0,2,1
61,"[11.1,11.3)",beta,19,162,181,0.104972375690608
61,"[12.5,12.7)",alpha,11,11,22,0.5
61,"[8.98,9.13)",delta,2,0,2,1
62,"[11.3,11.5)",beta,4,72,76,0.0526315789473684
62,"[12.7,12.9)",alpha,0,4,4,0
62,"[9.13,9.28)",delta,1,13,14,0.0714285714285714
63,"[12.9,13.1)",alpha,6,4,10,0.6
64,"[11.7,11.8)",beta,3,74,77,0.038961038961039
64,"[13.1,13.3)",alpha,2,3,5,0.4
65,"[11.8,12)",beta,0,13,13,0
66,"[12,12.2)",beta,1,28,29,0.0344827586206897
66,"[13.6,13.8)",alpha,13,48,61,0.213114754098361
67,"[12.2,12.4)",beta,0,29,29,0
67,"[13.8,14)",alpha,18,35,53,0.339622641509434
67,"[9.88,10)",delta,3,8,11,0.272727272727273
68,"[10,10.2)",delta,2,0,2,1
68,"[12.4,12.6)",beta,0,105,105,0
68,"[14,14.2)",alpha,5,28,33,0.151515151515152
69,"[10.2,10.3)",delta,3,3,6,0.5
69,"[12.6,12.8)",beta,1,57,58,0.0172413793103448
69,"[14.2,14.4)",alpha,2,13,15,0.133333333333333
7,"[1.11,1.29)",beta,47,0,47,1
7,"[1.25,1.46)",alpha,252,16,268,0.940298507462687
70,"[12.8,12.9)",beta,0,41,41,0
70,"[14.4,14.6)",alpha,0,4,4,0
71,"[10.5,10.6)",delta,1,5,6,0.166666666666667
71,"[12.9,13.1)",beta,0,51,51,0
71,"[14.6,14.8)",alpha,0,21,21,0
72,"[10.6,10.8)",delta,6,3,9,0.666666666666667
72,"[14.8,15)",alpha,1,15,16,0.0625
73,"[10.8,10.9)",delta,0,2,2,0
73,"[15,15.2)",alpha,0,7,7,0
74,"[10.9,11.1)",delta,1,2,3,0.333333333333333
74,"[15.2,15.4)",alpha,0,62,62,0
75,"[11.1,11.2)",delta,0,15,15,0
75,"[15.4,15.6)",alpha,1,25,26,0.0384615384615385
76,"[11.2,11.4)",delta,1,15,16,0.0625
76,"[13.9,14.1)",beta,0,44,44,0
76,"[15.6,15.9)",alpha,0,42,42,0
77,"[11.4,11.5)",delta,0,3,3,0
77,"[14.1,14.2)",beta,0,30,30,0
77,"[15.9,16.1)",alpha,0,16,16,0
78,"[14.2,14.4)",beta,0,25,25,0
78,"[16.1,16.3)",alpha,0,12,12,0
79,"[16.3,16.5)",alpha,0,3,3,0
8,"[1.29,1.48)",beta,47,1,48,0.979166666666667
8,"[1.46,1.67)",alpha,9,0,9,1
80,"[16.5,16.7)",alpha,2,58,60,0.0333333333333333
81,"[14.8,15)",beta,1,204,205,0.00487804878048781
82,"[12.1,12.3)",delta,0,10,10,0
82,"[15,15.2)",beta,0,40,40,0
82,"[16.9,17.1)",alpha,0,40,40,0
83,"[12.3,12.4)",delta,0,27,27,0
83,"[15.2,15.3)",beta,0,69,69,0
83,"[17.1,17.3)",alpha,0,40,40,0
84,"[12.4,12.6)",delta,0,3,3,0
84,"[15.3,15.5)",beta,0,20,20,0
84,"[17.3,17.5)",alpha,0,15,15,0
85,"[12.6,12.7)",delta,0,4,4,0
85,"[17.5,17.7)",alpha,0,55,55,0
86,"[12.7,12.9)",delta,0,1,1,0
86,"[17.7,17.9)",alpha,1,35,36,0.0277777777777778
87,"[12.9,13)",delta,0,1,1,0
87,"[15.9,16.1)",beta,0,34,34,0
87,"[17.9,18.1)",alpha,0,48,48,0
88,"[13,13.2)",delta,0,10,10,0
88,"[16.1,16.3)",beta,0,74,74,0
88,"[18.1,18.4)",alpha,0,8,8,0
89,"[16.3,16.5)",beta,0,57,57,0
89,"[18.4,18.6)",alpha,1,11,12,0.0833333333333333
9,"[1.2,1.35)",delta,10,2,12,0.833333333333333
9,"[1.48,1.66)",beta,15,0,15,1
9,"[1.67,1.88)",alpha,82,0,82,1
90,"[16.5,16.6)",beta,0,7,7,0
90,"[18.6,18.8)",alpha,6,25,31,0.193548387096774
91,"[13.5,13.6)",delta,0,5,5,0
91,"[18.8,19)",alpha,0,11,11,0
92,"[13.6,13.8)",delta,0,6,6,0
92,"[16.8,17)",beta,0,237,237,0
92,"[19,19.2)",alpha,0,56,56,0
93,"[13.8,13.9)",delta,0,3,3,0
93,"[17,17.2)",beta,0,37,37,0
93,"[19.2,19.4)",alpha,0,47,47,0
94,"[13.9,14.1)",delta,0,6,6,0
94,"[17.2,17.4)",beta,0,54,54,0
94,"[19.4,19.6)",alpha,0,7,7,0
95,"[14.1,14.2)",delta,0,6,6,0
95,"[17.4,17.6)",beta,0,8,8,0
96,"[14.2,14.4)",delta,0,3,3,0
96,"[17.6,17.8)",beta,4,319,323,0.0123839009287926
96,"[19.8,20)",alpha,0,55,55,0
97,"[14.4,14.5)",delta,0,1,1,0
97,"[17.8,17.9)",beta,0,14,14,0
97,"[20,20.2)",alpha,0,2,2,0
98,"[14.5,14.7)",delta,0,8,8,0
98,"[17.9,18.1)",beta,0,8,8,0
98,"[20.2,20.4)",alpha,0,26,26,0
99,"[14.7,14.8)",delta,0,15,15,0
99,"[18.1,18.3)",beta,0,31,31,0
99,"[20.4,20.6)",alpha,0,3,3,0
